first,last,university,country
Alberto, Cano, Virginia Commonwealth University, USA
Jose Alfredo F., Costa, Federal University (UFRN), Brazil
Richard J., Duro, Universidade da Coruña, Spain
Mohamed Medhat, Gaber, Birmingham City University, UK
João, Gama, University of Porto, Portugal
Salvador, Garcia, University of Granada, Spain
Manuel, Grana, University of the Basque Country, Spain
Francisco, Herrera, Univeristy of Granada, Spain
Alvaro, Herrero, University of Burgos, Spain
Michał, Koziarski, AGH University, Poland
Bartosz, Krawczyk, Virginia Commonwealth University, USA
Paweł, Ksieniewicz, Wroclaw University of Science and Technology, Poland
Héctor, Quintián, University of A Coruña, Spain
Bernhard, Pfahringer, University of Waikato, New Zealand
Piotr, Porwik, Silesian University, Poland
Arkadiusz, Tomczyk, Łódź University of Technology, Poland
Michał, Woźniak, Wroclaw University of Science and Technology, Poland
Jerzy, Stefanowski, Poznań University of Technology, Poland
Sung-Bae, Cho, Yonsei University, South Korea
Carlos, Cambra, University of Burgos, Spain
